
国际,#genre#
HD30ABNKids,https://3abn.bozztv.com/3abn2/Kids_live/smil:Kids_live.smil/playlist.m3u8
HD30A电视,https://30a-tv.com/my999.m3u8
HD30A电视经典电影,https://30a-tv.com/feeds/pzaz/30atvmovies.m3u8
HD30A电视频道,https://30a-tv.com/feeds/masters/30atv.m3u8
HD30A海滩秀,https://30a-tv.com/beachy.m3u8
HD30A人行道,http://30a-tv.com/sidewalks.m3u8
HD30A我们热爱汽车,https://30a-tv.com/feeds/vidaa/cars.m3u8
HD30A音乐,http://30a-tv.com/music.m3u8
HDALWAYS FUNNY,https://linear-12.frequency.stream/dist/plex/12/hls/master/playlist.m3u8
HDAMC+,https://bcovlive-a.akamaihd.net/ba853de442c140b7b3dc020001597c0a/us-east-1/6245817279001/playlist.m3u8
HDLoupeArt,https://linear-144.frequency.stream/dist/localnow/144/hls/hd/playlist.m3u8
HDCMTV,https://cdn3.wowza.com/5/UWpORHhLSEs5SkJs/costamesa/G0075_002/playlist.m3u8
HDCNN,https://turnerlive.warnermediacdn.com/hls/live/586495/cnngo/cnn_slate/VIDEO_0_3564000.m3u8
HDCoziTVhttps://amg00514-noseybaxterllc-realnosey-cineverse-tqbpv.amagi.tv/playlist/amg00514-noseybaxterllc-realnosey-cineverse/playlist.m3u8
HDCBSN波斯顿,https://cbsn-bos.cbsnstream.cbsnews.com/out/v1/589d66ec6eb8434c96c28de0370d1326/master.m3u8
HDBEK西部体育,https://cdn3.wowza.com/5/ZWQ1K2NYTmpFbGsr/BEK-WOWZA-1/smil:BEKPRIMEW.smil/playlist.m3u8
HDEBS影院,https://rpn.bozztv.com/ebstv/ebscinema/index.m3u8
HDEWTN非洲/亚洲,https://cdn3.wowza.com/1/ZVBYYXFLLzE0c3NC/Qk1FMURC/hls/live/playlist.m3u8
HDEWTN加拿大,https://cdn3.wowza.com/1/YW5wSWZiRGd2eFlU/bGV0aVBq/hls/live/playlist.m3u8
HDEWTN欧洲,https://cdn3.wowza.com/1/T2NXeHF6UGlGbHY3/WFluRldQ/hls/live/playlist.m3u8
HDEWTN亚太区,https://cdn3.wowza.com/1/QmVNUVhTNTZSS3Uz/YWQ0aHpi/hls/live/playlist.m3u8
HDGCN美洲,http://liveen24-manminglobal3.ktcdn.co.kr/liveen24/gcnus_1300k.stream/playlist.m3u8
HDHSN,https://qvc-amd-live.akamaized.net/hls/live/2034113/lshsn1uswest/master.m3u8
HDHTV1休斯敦电视台,https://stream.swagit.com/live-edge/houstontx/smil:hd-16x9-2-a/playlist.m3u8
HDHTV2休斯敦电视台,https://stream.swagit.com/live-edge/houstontx/smil:hd-16x9-2-b/playlist.m3u8
HDKOKIDT1,https://d2kns0rg30a9ar.cloudfront.net/playlist/amg02104-imagicommcommun-kokibreaking-ono/playlist.m3u8
FHDWKAQ-DT1https://nbculocallive.akamaized.net/hls/live/2037499/puertorico/stream1/master.m3u8
FHDAlkarma电视表扬,https://58cc65c534c67.streamlock.net/alkarmatv.com/alkarmapa.smil/playlist.m3u8
FHD阿旺电视,https://hls.avang.live/hls/stream.m3u8
FHD标志电视英语,https://5aafcc5de91f1.streamlock.net/logoschannel.com/logoseng/playlist.m3u8
FHDABC5DesMoinesIA,https://livevideo01.weareiowa.com/hls/live/2011593/newscasts/live.m3u8
FHDNewsy,https://547f72e6652371c3.mediapackage.us-east-1.amazonaws.com/out/v1/e3e6e29095844c4ba7d887f01e44a5ef/index.m3u8
FHDAMC东部,http://fl5.moveonjoy.com/AMC_NETWORK/index.m3u8
FHDCBN家族,https://bcovlive-a.akamaihd.net/r602a47f47fee47bb83239eb1b1e1ac83/us-east-1/734546207001/playlist.m3u8
FHDFITE24/7,https://d3d85c7qkywguj.cloudfront.net/scheduler/scheduleMaster/263.m3u8
FHDIHeart90s,https://iheart-iheart90s-1-us.xumo.wurl.tv/playlist.m3u8
FHDCSatTV,https://5b622f07944df.streamlock.net/csat.tv/csat.smil/playlist.m3u8
FHDCYC,http://media.smc-host.com:1935/cycnow.com/cyc2/playlist.m3u8
FHDKXVA-DT1,https://livevideo01.myfoxzone.com/hls/live/2017381/elvs/live.m3u8
FHDSKWAD,https://stream-us-east-1.getpublica.com/playlist.m3u8?network_id=71
FHDTBN太平洋公司,https://broadcast.tbnpacific.org.au:4430/stream/TBNPacificTV/playlist.m3u8
FHDNewsmaxTV,http://nmxlive.akamaized.net/hls/live/529965/Live_1/index.m3u8
360PNewsmax电视,https://nmx1ota.akamaized.net/hls/live/2107010/Live_1/index.m3u8
HDOAN安可,https://a-cdn.herringnetwork.com/affiliate/oane/playlist.m3u8
404POANPlus,http://oneamericanews-roku-us.amagi.tv/playlist.m3u8
HDOlelo54,https://cdn3.wowza.com/5/V2Y2VmhqMEFDTUkx/olelo/G0125_012/playlist.m3u8
HDOMLonRevry,https://linear-73.frequency.stream/dist/localnow/73/hls/master/playlist.m3u8
HDRevry2,https://linear-5.frequency.stream/mt/brightcove/5/hls/master/playlist.m3u8
HDRevryQueer,https://linear-43.frequency.stream/dist/galxy/43/hls/master/playlist.m3u8
HDRevryQueer,https://4aafa23ec0a6477ca31466bd83a115a4.mediatailor.us-west-2.amazonaws.com/v1/master/ba62fe743df0fe93366eba3a257d792884136c7f/LINEAR-43-REVRY2-GALXY/mt/galxy/43/hls/master/playlist.m3u8
HDTBS东部,http://143.244.60.30/TBS/index.m3u8
HDTinTV,https://tulixcdn.akamaized.net/tintv6/tintv/tintv/playlist.m3u8
HDUCTV加州大学,https://59e8e1c60a2b2.streamlock.net/509/509.stream/playlist.m3u8
HDTVS保龄球网,https://bozztv.com/gusa/gusa-tvsbowling/index.m3u8
HDTVS酒馆,https://bozztv.com/gusa/gusa-tavern/index.m3u8
HDTVS电视网络,https://bozztv.com/gusa/gusa-tvstn/index.m3u8
HDWOWTV,http://cdn.elsalvadordigital.com:1935/wowtv/wowtv/playlist.m3u8
HD东CMT,http://fl3.moveonjoy.com/CMT/index.m3u8
HDMTC,https://mtchls.wns.live/hls/stream.m3u8
HD橙色TV3,https://cdn3.wowza.com/5/R09KQXpaMWlrRjly/cityoforange/G1025_004/playlist.m3u8
HD记者,https://5fc5d8ccf75447c98c821a2cfcfbee2c.mediatailor.us-west-2.amazonaws.com/v1/master/ba62fe743df0fe93366eba3a257d792884136c7f/LINEAR-291-JOURNYUS-OVATIONTV/mt/ovationtv/291/hls/master/playlist.m3u8
HD经典艺术展示,https://classicarts.akamaized.net/hls/live/1024257/CAS/master.m3u8
HD咖啡贸易电视,https://cafetradehls.wns.live/hls/stream.m3u8
HD名人现场电视,https://bozztv.com/gusa/gusa-celebrityscene/index.m3u8
HD社区12TV,https://lin10.isilive.ca/live/gainesville/live/index.m3u8
HD时尚发现,https://qvc-amd-live.akamaized.net/hls/live/2034113/lsqvc5us/master.m3u8
HD时事新闻,https://linear-44.frequency.stream/dist/localnow/44/hls/master/playlist.m3u8
HD数字电视,https://d25ykpi2vxhoyc.cloudfront.net/delmar-cdn/dmtv/playlist.m3u8
HD亚特兰大之夜,https://streamyes.alsolnet.com/quebuenaatlanta/live/index.m3u8
HD天主教信仰网络,https://uni8rtmp.tulix.tv/cfntv/cfntv/playlist.m3u8
HD哥伦比亚广播公司洛杉矶新闻,https://cbsn-la.cbsnstream.cbsnews.com/out/v1/57b6c4534a164accb6b1872b501e0028/master.m3u8
HD哥伦比亚广播公司新闻达拉斯福特沃斯,https://cbsn-dal.cbsnstream.cbsnews.com/out/v1/ffa98bbf7d2b4c038c229bd4d9122708/master.m3u8
HD环球电视,https://media.streambrothers.com:1936/8052/8052/playlist.m3u8
FHD环球时尚,https://pubgfc.teleosmedia.com/linear/globalfashionchannel/globalfashionchannel/playlist.m3u8
FHD拉丁区,https://cdn.streamingcpanel.com:3784/live/latinzonetvlive.m3u8
FHD流行歌星电视,https://linear-10.frequency.stream/dist/stirr/10/hls/master/playlist.m3u8
FHD彭博电视,https://bloomberg-bloomberg-1-dk.samsung.wurl.tv/playlist.m3u8
FHD德克萨斯州圣安东尼奥的myTV,https://livevideo01.kiiitv.com/hls/live/2017378/newscasts/live.m3u8
FHD福克斯15西德克萨斯州阿比林德克萨斯州,https://livevideo01.myfoxzone.com/hls/live/2017381/newscasts/live.m3u8
FHD福音真理电视,https://na.linear.zype.com/bf94f9f4-383c-40e0-9d49-279a4f33ab8d/f29b8836-d990-4c8d-b421-192a8f43edc4-zype/manifest.m3u8
FHD冲击！摔跤,https://d2p372oxiwmcn1.cloudfront.net/hls/main.m3u8
FHD大厨Roc秀,https://bozztv.com/gusa/gusa-chefrock/index.m3u8
FHD阿尔卡尔马电视青年和英语,https://5aafcc5de91f1.streamlock.net/alkarmatv.com/alkarmaus.smil/playlist.m3u8
FHD希尔电视台,https://jmp2.uk/sam-US3300008FX.m3u8
FHD新闻最大,https://nmxlive.akamaized.net/hls/live/529965/Live_1/index.m3u8
HD生活报电视台无声,https://cdn3.wowza.com/5/OE5HREpIcEkySlNT/alhayat-live/ngrp:livestream_all/playlist.m3u8
576P武当Collection,https://stream-us-east-1.getpublica.com/playlist.m3u8
576P东尼克影院儿童,http://143.244.60.30/NICKELODEON/index.m3u8
540PWNBC-DT1,http://fl1.moveonjoy.com/NBC_EAST/index.m3u8
540P跑马灯体育网,https://v15.thetvapp.to/hls/marquee-sports-network/index.m3u8
540P红牛运动,http://rbmn-live.akamaized.net/hls/live/590964/BoRB-AT/master_1660.m3u8
540PTDAmeritradeNetwork,https://content.uplynk.com/channel/f9aafa1f132e40af9b9e7238bc18d128.m3u8
540PStarzEncore经典东方,http://fl5.moveonjoy.com/STARZ_ENCORE_CLASSIC/index.m3u8
540PJudgeNosey,https://scripps-bouncexl-1-us.xumo.wurl.tv/playlist.m3u8
540PBounceXL,https://scripps-bouncexl-1-us.xumo.wurl.tv/playlist.m3u8
540PWBRA-DT3儿童,https://livestream.pbskids.org/out/v1/1e3d77b418ad4a819b3f4c80ac0373b5/est_124.m3u8
540PWBZ-DT1,http://143.244.60.30/CBSEAST/index.m3u8
480PLaff,http://72.46.118.193/Laff/index.m3u8
480P红苹果21,https://cs.ebmcdn.net/eastbay-live-hs-1/fcps/mp4:fcps/playlist.m3u8
480P东图南余波,http://api.toonamiaftermath.com:3000/est/playlist.m3u8
480P奎斯基亚电视台,https://cloud5.livescast.com:19360/canaltvquisqueya/canaltvquisqueya.m3u8
480P帕斯科电视台,https://cpcdn.azureedge.net/PASCOCOFLLIVE1/PASCOCOFLLIVE1/playlist.m3u8
480PTVS宠物游行网络,https://bozztv.com/gusa/gusa-petparadenetwork/index.m3u8
478PPTVS体育局,https://bozztv.com/gusa/gusa-tvssportsbureau/index.m3u8
478PTVSHiTops,https://bozztv.com/gusa/gusa-hitops/index.m3u8
464PTVS好莱坞历史,https://bozztv.com/gusa/gusa-tvshollywoohistory/index.m3u8
432P东方电视明星,https://estrellatv-plex.amagi.tv/playlist.m3u8
396P花卉电视,https://yuppmedtaorire.akamaized.net/v1/master/a0d007312bfd99c47f76b77ae26b1ccdaae76cb1/flowers_nim_https/050522/flowers/playlist.m3u8
360P只是为了搞笑,https://streams2.sofast.tv/sofastplayout/4c727f82-d2ec-4a07-870c-49a6f22ee6f9_0_HLS/master.m3u8
360P瑞安和朋友们,https://amg00286-pocketwatch-ryanandfriends-samsungnz-oc0ua.amagi.tv/playlist/amg00286-pocketwatch-ryanandfriends-samsungnz/playlist.m3u8
360P荒野,https://d2f9g9rfw2kx84.cloudfront.net/playlist/amg01290-wildearth-oando/playlist.m3u8
360PTVS复古网络,https://bozztv.com/gusa/gusa-tvsvintage/index.m3u8
360PTVS家庭频道,https://bozztv.com/gusa/gusa-TVSFamilyChannel/index.m3u8
360PTVS西部电影,https://bozztv.com/gusa/gusa-tvswesternmovies/index.m3u8
360PTVS音乐网,https://bozztv.com/gusa/gusa-tvsmusic/index.m3u8
360P暗物质电视,https://tricoast-tv-dark-matter-01-us.ono.wurl.tv/playlist.m3u8
360P博物馆电视,https://amg01492-secomsasmediart-museumtv-en-plex-abtzr.amagi.tv/playlist/amg01492-secomsasmediart-museumtv-en-plex/playlist.m3u8
360P超级简单的歌,https://janson-supersimplesongs-1-us.roku.wurl.tv/playlist.m3u8
360P忍者儿童电视,https://playworksdigital-ninjakidztv-1-us.xumo.wurl.tv/playlist.m3u8
360P小鲨鱼电视儿童,https://newidco-babysharktv-1-us.roku.wurl.tv/playlist.m3u8
360P婴儿第一,https://streams2.sofast.tv/v1/master/611d79b11b77e2f571934fd80ca1413453772ac7/c8d16110-566c-4e95-a1df-55d175e9e201/manifest.m3u8
360P好莱坞制造,https://connection3-ent-nz.samsung.wurl.tv/playlist.m3u8
360P好胃口,https://bonappetit-samsung.amagi.tv/playlist.m3u8
360PVevoPop,https://amg00056-amg00056c9-rakuten-fr-3243.playouts.now.amagi.tv/playlist/amg00056-vevotvfast-vevopopfr-rakutenfr/playlist.m3u8
360PWeHoTV,https://cdn3.wowza.com/5/M0lyamVmM2JWcjhQ/weho/G0161_004/playlist.m3u8
360PSPTV,https://cdn3.wowza.com/5/RXJNMFI3VlVkOEFP/stpete/G0187_003/playlist.m3u8
360PPAC12Insider,https://pac12-samsungus.amagi.tv/playlist.m3u8
360PAMC的故事,https://amc-amcpresents-1-us.xumo.wurl.tv/playlist.m3u8
360PABN圣经电影频道,https://mediaserver.abnvideos.com/streams/abnbiblemovies.m3u8
360PABN中国,https://mediaserver.abnvideos.com/streams/abnchina.m3u8
360PBrat电视台,https://brat-samsung-us.amagi.tv/playlist.m3u8
360PFoxSoul,https://fox-foxsoul-samsungus.amagi.tv/playlist.m3u8
360PCFM电视98频道,https://cdn3.wowza.com/5/djRwZmQvTEJidmZD/cityftmyers/G2083_002/playlist.m3u8
360PMyTimemovienetwork(Brazil),https://appletree-mytime-samsungbrazil.amagi.tv/playlist.m3u8
360PMyTimemovienetwork(Spain),https://appletree-mytimespain-rakuten.amagi.tv/playlist.m3u8
360PMyTime电影网西班牙,https://appletree-mytimespain-rakuten.amagi.tv/playlist.m3u8
360P体育频道,https://sportsgrid-samsungus.amagi.tv/playlist.m3u8
240P黑人新闻频道,https://blacknewschannel-xumo-us.amagi.tv/playlist.m3u8
240PMysteryScienceTheater3000,https://mst3k-localnow.amagi.tv/playlist.m3u8
240PLLBN阿拉伯语电视台,https://brightstar-arabic-pull-secure.akamaized.net/brightstararabic/stream.m3u8
240PLLBN电视台韩语,https://brightstar-korean-pull-secure.akamaized.net/brightstarkorean/stream.m3u8
240PLLBN南亚电视台,https://brightstar-southasia-pull-secure.akamaized.net/brightstarsouthasia/stream.m3u8
240PLLBN中文,https://brightstar-chinese-pull-secure.akamaized.net/brightstarchinese/stream.m3u8

英国,#genre#
FHDDAZNCombat,https://dazn-combat-rakuten.amagi.tv/hls/amagi_hls_data_rakutenAA-dazn-combat-rakuten/CDN/master.m3u8
HDMTA3Al-Arabia,https://chlivemta1.akamaized.net/hls/live/2010556/mta3alarabia/playlist.m3u8
HDTVWarehouse,https://tvwarehouse.r.worldssl.net/mystream.m3u8
HDMTA2Europe,https://chlivemta1.akamaized.net/hls/live/2008145/mta2/playlist.m3u8
FHDMTA4Africa,https://chlivemta.akamaized.net/hls/live/2010555/mtaafrica1/playlist.m3u8
FHDMTA5Africa,https://chlivemta.akamaized.net/hls/live/2010555/mtaafrica2/playlist.m3u8
FHDTJC,https://cdn-shop-lc-01.akamaized.net/Content/HLS_HLS/Live/channel(TJCOTT)/index.m3u8
FHDAfrobeats,https://stream.ecable.tv/afrobeats/tracks-v1a1/index.m3u8
FHDBBC地球,https://amg00793-amg00793c6-xumo-us-2669.playouts.now.amagi.tv/BBCStudios-BBCEarthA-hls/playlist.m3u8
FHDGREAT!Mystery,https://c05aa782f35f4333b49de9974e81890d.mediatailor.us-west-2.amazonaws.com/v1/master/ba62fe743df0fe93366eba3a257d792884136c7f/LINEAR-861-GREATMYSTERY-LG_UK/mt/lg-uk/861/hls/master/playlist.m3u8
HDKanalJadid,https://kjhls.wns.live/hls/stream.m3u8
HDSkyNewsWeather,https://distro001-gb-hls1-prd.delivery.skycdp.com/easel_cdn/ngrp:weather_loop.stream_all/playlist.m3u8#d47223ac8c26f7b453271cbd491654816620184e91a8b7d601248328069db990
HDTakbeerTV,https://ap02.iqplay.tv:8082/iqb8002/t5kb86/playlist.m3u8
HDWarehouseTV,https://tvwarehouse.r.worldssl.net/mystream.m3u8
HDSky News Arabia,https://stream.skynewsarabia.com/hls/sna_720.m3u8
FHDAfrobeats 247,https://stream.ecable.tv/afrobeats/tracks-v1a1/mono.m3u8
HDYAAAS动画,https://d3knqoaufvjug3.cloudfront.net/v1/master/3722c60a815c199d9c0ef36c5b73da68a62b09d1/cc-caepqnvi5dnka/yas.m3u8
HDYAAAS动画,https://jmp2.uk/sam-GB340000289.m3u8
576PChannelS,https://cdn149.anystream.uk:8082/g1/tvchsuk03/playlist.m3u8
576PDeenTV,https://ap02.iqplay.tv:8082/iqb8002/d33ntv/playlist.m3u8
576PIqra电视台,https://ap02.iqplay.tv:8082/iqb8002/iq6a7k/playlist.m3u8
480PBBCNewsAsiaPacific,https://cdn4.skygo.mn/live/disk1/BBC_News/HLSv3-FTA/BBC_News.m3u8
432PWildEarth,https://wildearth-xumo.amagi.tv/master.m3u8
396P英国广播公司新闻,https://vs-hls-push-ww-live.akamaized.net/x=4/i=urn:bbc:pips:service:bbc_news_channel_hd/mobile_wifi_main_sd_abr_v2.m3u8
360PQVCBeauty,https://qvcuk-live.akamaized.net/hls/live/2097112/qby/master.m3u8
360PNOWRock摇滚,https://lightning-now90s-rakuten.amagi.tv/hls/amagi_hls_data_rakutenAA-lightning-now90s-rakuten/CDN/playlist.m3u8
360PTiny Pop动画,https://jmp2.uk/sam-GBBD3200003T6.m3u8
360PGarshom TV,http://og2qd3aal7an-hls-live.5centscdn.com/garshomtv/d0dbe915091d400bd8ee7f27f0791303.sdp/playlist.m3u8
360P比诺TV动画,https://beanostudios-beanotv-1-gb.samsung.wurl.tv/playlist.m3u8
360PGBNews,https://amg01076-lightningintern-gbnewsnz-samsungnz-rlcsd.amagi.tv/playlist/amg01076-lightningintern-gbnewsnz-samsungnz/playlist.m3u8
360PHorseandCountry,https://hncfree-samsung-uk.amagi.tv/playlist.m3u8
360PDiscover Film,https://discoverfilm-discoverfilm-1-nl.samsung.wurl.tv/playlist.m3u8
240PPop动画,https://amg01753-narrativeentert-popkids-lggb-xyy5k.amagi.tv/playlist/amg01753-narrativeentert-popkids-lggb/playlist.m3u8

加拿大,#genre#
HDMuch动画,http://fl1.moveonjoy.com/MUCH/index.m3u8
HD5AAB电视,http://158.69.124.9:1935/5aabtv/5aabtv/chunklist_w2029417072.m3u8
HDCHCO-TV,https://temp4.isilive.ca/live/CHCOTV/live/index.m3u8
HDDeshiTV,https://deshitv.deshitv24.net/live/myStream/playlist.m3u8
HDTheShoppingChannel,http://tscstreaming-lh.akamaihd.net/i/TSCLiveStreaming_1@91031/master.m3u8
HDGaundaPunjabTV,http://cdn6.live247stream.com/gaundapunjab/tv/playlist.m3u8
HDPardesiTV,http://stream.pardesitv.online/pardesi/index.m3u8
FHDTAGTV,http://cdn11.live247stream.com/tag/tv/playlist.m3u8
FHDFEVATV,https://d3c1w351ahk83d.cloudfront.net/scheduler/scheduleMaster/416.m3u8
FHD努纳武特立法议会电视台,http://temp2.isilive.ca/live/nunavut/live-eng/index.m3u8
FHD狂野电视,https://dfhsahpa45kk2.cloudfront.net/scheduler/scheduleMaster/476.m3u8
FHD普利茅斯摇滚电视台,https://d30au7974f7qoa.cloudfront.net/scheduler/scheduleMaster/419.m3u8
FHD阿兹斯塔电视台,http://live.livestreamtv.ca/azstar/smil:azstar.smil/playlist.m3u8
HD立法议会,https://temp3.isilive.ca/live/_definst_/ontla/house-en/playlist.m3u8
HD安大略议会网络,http://origin-http-delivery.isilive.ca/live/_definst_/ontla/house-fr/playlist.m3u8
HD旁遮普电视台,http://158.69.124.9:1935/5aabtv/5aabtv/playlist.m3u8
HD蒙特利尔环球新闻,https://live.corusdigitaldev.com/groupa/live/6bfb7f13-9d9d-4211-9c50-fb56330e4ccd/live.isml/.m3u8
HD全球不列颠哥伦比亚省,https://live.corusdigitaldev.com/groupa/live/48a5882b-a1ec-42d7-bfd7-6c2739e737da/live.isml/master.m3u8
HD全球多伦多,https://live.corusdigitaldev.com/groupd/live/8970c668-40cd-4ca9-8c4d-25fd04f619b5/live.isml/master.m3u8
HD全球国家新闻,https://live.corusdigitaldev.com/groupd/live/49a91e7f-1023-430f-8d66-561055f3d0f7/live.isml/.m3u8
HD全球国家新闻,https://live.corusdigitaldev.com/groupd/live/49a91e7f-1023-430f-8d66-561055f3d0f7/live.isml/master.m3u8
HD全球新闻不列颠哥伦比亚省,https://live.corusdigitaldev.com/groupa/live/48a5882b-a1ec-42d7-bfd7-6c2739e737da/live.isml/.m3u8
HD全球新闻金斯敦,https://live.corusdigitaldev.com/groupa/live/023a9e25-f0cf-4d97-af9f-5c665b7d45b9/live.isml/.m3u8
HD全球新闻卡尔加里,https://live.corusdigitaldev.com/groupd/live/8970c668-40cd-4ca9-8c4d-25fd04f619b5/live.isml/.m3u8
HD全球新闻里贾纳,https://live.corusdigitaldev.com/groupb/live/3062d0e3-ed4c-4f47-8482-95648250f4b8/live.isml/.m3u8
HD全球新闻萨斯卡通,https://live.corusdigitaldev.com/groupc/live/f191ef59-6c28-42ba-86d0-d47df5280249/live.isml/.m3u8
HD温哥华城市新闻,https://citynewsregional.akamaized.net/hls/live/1024054/Regional_Live_9/master.m3u8
HD埃德蒙顿全球新闻,https://live.corusdigitaldev.com/groupb/live/215422c9-d1b9-4009-aaca-32e403f22b01/live.isml/.m3u8
HD彼得伯勒全球新闻,https://live.corusdigitaldev.com/groupa/live/5eb39b64-58e8-47d2-97ca-25e8cd760b63/live.isml/.m3u8
HD杜克·尼瓦兰,http://cdn12.henico.net:8080/live/dncal/index.m3u8
HD多伦多360电视台,http://cdn3.toronto360.tv:8081/toronto360/hd/playlist.m3u8
HD多伦多全球新闻,https://live.corusdigitaldev.com/groupd/live/deb8cec5-87fb-460a-ab82-0929374fc5fb/live.isml/.m3u8
HD多伦多市中心,https://citynewsregional.akamaized.net/hls/live/1024052/Regional_Live_7/master.m3u8
HD多伦多网络电视台,https://eu1.vectromdigital.com:1936/netvtoronto/netvtoronto/playlist.m3u8
HD范二哈尔格电视台,https://hls.erfanhalgheh.live/hls/stream.m3u8
HD古希·萨巴斯钦电视,http://cdn12.henico.net:8080/live/gsctv/index.m3u8
HD环球新闻,https://live.corusdigitaldev.com/groupc/live/9fd97fb0-baa8-4191-bd2c-59aa5c9a1d48/live.isml/.m3u8
HD环球新闻哈利法克斯,https://live.corusdigitaldev.com/groupa/live/b60d1d57-2851-4c29-bf5c-36feed988e57/live.isml/.m3u8
HD环球新闻莱斯布里奇,https://live.corusdigitaldev.com/groupc/live/cea96246-9af2-4373-932f-cdd3f8db2bc0/live.isml/.m3u8
HD加拿大电视台,http://cdn27.live247stream.com/primecanada/247/primecanada/stream1/chunks.m3u8
HD加拿大一号,http://cdn8.live247stream.com/canadaone/tv/playlist.m3u8
HD卡尔加里城市新闻,https://citynewsregional.akamaized.net/hls/live/1024053/Regional_Live_8/master.m3u8
540PLoveNature,http://fl1.moveonjoy.com/LOVE_NATURE/index.m3u8
432PStingrayClassicRock,https://lotus.stingray.com/manifest/ose-101ads-montreal/samsungtvplus/master.m3u8
432PStingrayEasyListening,https://lotus.stingray.com/manifest/ose-137ads-montreal/samsungtvplus/master.m3u8
432PStingrayEverything'80s,https://lotus.stingray.com/manifest/ose-128ads-montreal/samsungtvplus/master.m3u8
432PStingrayFlashback70's,https://lotus.stingray.com/manifest/ose-115ads-montreal/samsungtvplus/master.m3u8
432PStingrayHitList,https://lotus.stingray.com/manifest/ose-107ads-montreal/samsungtvplus/master.m3u8
432PStingrayHolidayHits,https://lotus.stingray.com/manifest/ose-155ads-montreal/samsungtvplus/master.m3u8
432PStingrayHotCountry,https://lotus.stingray.com/manifest/ose-108ads-montreal/samsungtvplus/master.m3u8
432PStingrayNothin'But90s,https://lotus.stingray.com/manifest/ose-142ads-montreal/samsungtvplus/master.m3u8
432PStingrayPopAdult,https://lotus.stingray.com/manifest/ose-104ads-montreal/samsungtvplus/master.m3u8
